ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
KCUB,medium_airport,Jim Hamilton L.B. Owens Airport,193,NA,US,US-SC,Columbia,KCUB,CUB,CUB,"33.970500946, -80.9952011108"
KCVG,large_airport,Cincinnati Northern Kentucky International Airport,896,NA,US,US-KY,Cincinnati,KCVG,CVG,CVG,"39.0488014221, -84.6678009033"
KCVO,medium_airport,Corvallis Municipal Airport,250,NA,US,US-OR,Corvallis,KCVO,CVO,CVO,"44.49720001, -123.2900009"
KCVS,large_airport,Cannon Air Force Base,4295,NA,US,US-NM,Clovis,KCVS,CVS,CVS,"34.3828010559, -103.321998596"
KCWA,medium_airport,Central Wisconsin Airport,1277,NA,US,US-WI,Mosinee,KCWA,CWA,CWA,"44.7775993347, -89.6668014526"
KCXO,medium_airport,Conroe-North Houston Regional Airport,245,NA,US,US-TX,Houston,KCXO,CXO,CXO,"30.351801, -95.414497"
KCYS,medium_airport,Cheyenne Regional Jerry Olson Field,6159,NA,US,US-WY,Cheyenne,KCYS,CYS,CYS,"41.15570068, -104.8119965"
KCZ,medium_airport,Kochi Airport (高知空港),29,AS,JP,JP-39,Nankoku,RJOK,KCZ,,"33.546259, 133.668938"
KDAA,medium_airport,Davison Army Air Field,73,NA,US,US-VA,Fort Belvoir,KDAA,DAA,DAA,"38.715000152600005, -77.1809997559"
KDAB,large_airport,Daytona Beach International Airport,34,NA,US,US-FL,Daytona Beach,KDAB,DAB,DAB,"29.179899, -81.058098"
KDAG,medium_airport,Barstow Daggett Airport,1930,NA,US,US-CA,Daggett,KDAG,DAG,DAG,"34.85369873, -116.7870026"
KDAL,large_airport,Dallas Love Field,487,NA,US,US-TX,Dallas,KDAL,DAL,DAL,"32.847099, -96.851799"
KDAN,medium_airport,Danville Regional Airport,571,NA,US,US-VA,Danville,KDAN,DAN,DAN,"36.572898864746094, -79.33609771728516"
KDAY,large_airport,James M Cox Dayton International Airport,1009,NA,US,US-OH,Dayton,KDAY,DAY,DAY,"39.902400970458984, -84.21939849853516"
KDBQ,large_airport,Dubuque Regional Airport,1077,NA,US,US-IA,Dubuque,KDBQ,DBQ,DBQ,"42.40200043, -90.70950317"
KDCA,large_airport,Ronald Reagan Washington National Airport,15,NA,US,US-DC,Washington,KDCA,DCA,DCA,"38.8521, -77.037697"
KDDC,medium_airport,Dodge City Regional Airport,2594,NA,US,US-KS,Dodge City,KDDC,DDC,DDC,"37.76340103149414, -99.9655990600586"
KDEC,medium_airport,Decatur Airport,682,NA,US,US-IL,Decatur,KDEC,DEC,DEC,"39.834598541259766, -88.8656997680664"
KDEN,large_airport,Denver International Airport,5431,NA,US,US-CO,Denver,KDEN,DEN,DEN,"39.861698150635, -104.672996521"
KDET,medium_airport,Coleman A. Young Municipal Airport,626,NA,US,US-MI,Detroit,KDET,DET,DET,"42.40919876, -83.00990295"
KDFW,large_airport,Dallas Fort Worth International Airport,607,NA,US,US-TX,Dallas-Fort Worth,KDFW,DFW,DFW,"32.896801, -97.038002"
KDHN,medium_airport,Dothan Regional Airport,401,NA,US,US-AL,Dothan,KDHN,DHN,DHN,"31.321300506591797, -85.44960021972656"
KDHT,medium_airport,Dalhart Municipal Airport,3991,NA,US,US-TX,Dalhart,KDHT,DHT,DHT,"36.0225982666, -102.54699707"
KDIK,medium_airport,Dickinson Theodore Roosevelt Regional Airport,2592,NA,US,US-ND,Dickinson,KDIK,DIK,DIK,"46.7974014282, -102.802001953"
KDLF,large_airport,DLF Airport,1082,NA,US,US-TX,Del Rio,KDLF,DLF,DLF,"29.359501, -100.778002"
KDLH,large_airport,Duluth International Airport,1428,NA,US,US-MN,Duluth,KDLH,DLH,DLH,"46.8420982361, -92.19360351559999"
KDLS,medium_airport,Columbia Gorge Regional the Dalles Municipal Airport,247,NA,US,US-OR,The Dalles,KDLS,DLS,DLS,"45.6184997559, -121.166999817"
KDMA,medium_airport,Davis Monthan Air Force Base,2704,NA,US,US-AZ,Tucson,KDMA,DMA,DMA,"32.1665000916, -110.883003235"
KDMN,medium_airport,Deming Municipal Airport,4314,NA,US,US-NM,Deming,KDMN,DMN,DMN,"32.262298584, -107.721000671"
KDNL,medium_airport,Daniel Field,423,NA,US,US-GA,Augusta,KDNL,DNL,DNL,"33.4664993286, -82.0393981934"
KDOV,large_airport,Dover Air Force Base,24,NA,US,US-DE,Dover,KDOV,DOV,DOV,"39.12950134, -75.46600342"
KDPA,medium_airport,Dupage Airport,759,NA,US,US-IL,Chicago/West Chicago,KDPA,DPA,DPA,"41.90779877, -88.24859619"
KDRA,medium_airport,Desert Rock Airport,3314,NA,US,US-NV,Mercury,KDRA,DRA,NV65,"36.6194, -116.032997"
KDRI,medium_airport,Beauregard Regional Airport,202,NA,US,US-LA,De Ridder,KDRI,DRI,DRI,"30.8316993713, -93.33989715579999"
KDRT,medium_airport,Del Rio International Airport,1002,NA,US,US-TX,Del Rio,KDRT,DRT,DRT,"29.3742008209, -100.927001953"
KDSM,large_airport,Des Moines International Airport,958,NA,US,US-IA,Des Moines,KDSM,DSM,DSM,"41.534000396728516, -93.66310119628906"
KDTW,large_airport,Detroit Metropolitan Wayne County Airport,645,NA,US,US-MI,Detroit,KDTW,DTW,DTW,"42.212398529052734, -83.35340118408203"
KDUG,medium_airport,Bisbee Douglas International Airport,4154,NA,US,US-AZ,Douglas Bisbee,KDUG,DUG,DUG,"31.4689998627, -109.603996277"
KDUJ,medium_airport,DuBois Regional Airport,1817,NA,US,US-PA,Dubois,KDUJ,DUJ,DUJ,"41.17829895, -78.8986969"
KDYS,large_airport,Dyess Air Force Base,1789,NA,US,US-TX,Abilene,KDYS,DYS,DYS,"32.4207992554, -99.854598999"
KE-0075,medium_airport,Laikipia Air Base,,AF,KE,KE-700,Nanyuki,HKNY,,,"0.032933, 37.026901"
KEAT,medium_airport,Pangborn Memorial Airport,1249,NA,US,US-WA,Wenatchee,KEAT,EAT,EAT,"47.3988990784, -120.207000732"
KEAU,medium_airport,Chippewa Valley Regional Airport,913,NA,US,US-WI,Eau Claire,KEAU,EAU,EAU,"44.86579895019531, -91.48429870605469"
KECG,medium_airport,Elizabeth City Regional Airport & Coast Guard Air Station,12,NA,US,US-NC,Elizabeth City,KECG,ECG,ECG,"36.26060104, -76.17459869"
KECP,medium_airport,Northwest Florida Beaches International Airport,69,NA,US,US-FL,Panama City Beach,KECP,ECP,ECP,"30.357106, -85.795414"
KEDW,large_airport,Edwards Air Force Base,2312,NA,US,US-CA,Edwards,KEDW,EDW,EDW,"34.905399, -117.884003"
KEED,medium_airport,Needles Airport,983,NA,US,US-CA,Needles,KEED,EED,EED,"34.7663002014, -114.623001099"
KEEN,medium_airport,Dillant Hopkins Airport,488,NA,US,US-NH,Keene,KEEN,EEN,EEN,"42.898399353027344, -72.27079772949219"
KEET,medium_airport,Shelby County Airport,586,NA,US,US-AL,Alabaster,KEET,,EET,"33.17699814, -86.78279877"
KEFD,medium_airport,Ellington Airport,32,NA,US,US-TX,Houston,KEFD,EFD,EFD,"29.607299804700002, -95.1587982178"
KEGE,medium_airport,Eagle County Regional Airport,6548,NA,US,US-CO,Eagle,KEGE,EGE,EGE,"39.64260101, -106.9179993"
KEGI,medium_airport,Duke Field,191,NA,US,US-FL,Crestview,KEGI,EGI,EGI,"30.65040016, -86.52290344"
KEKA,medium_airport,Murray Field,7,NA,US,US-CA,Eureka,KEKA,EKA,EKA,"40.803398132299996, -124.112998962"
KEKN,medium_airport,Elkins-Randolph Co-Jennings Randolph Field,1987,NA,US,US-WV,Elkins,KEKN,EKN,EKN,"38.88940048, -79.85710144"
KEKO,medium_airport,Elko Regional Airport,5140,NA,US,US-NV,Elko,KEKO,EKO,EKO,"40.82490158081055, -115.79199981689453"
KELD,medium_airport,South Arkansas Regional At Goodwin Field,277,NA,US,US-AR,El Dorado,KELD,ELD,ELD,"33.22100067138672, -92.81330108642578"
KELM,medium_airport,Elmira Corning Regional Airport,954,NA,US,US-NY,Elmira/Corning,KELM,ELM,ELM,"42.1599006652832, -76.8916015625"
KELO,medium_airport,Ely Municipal Airport,1456,NA,US,US-MN,Ely,KELO,LYU,ELO,"47.82450104, -91.83070374"
KELP,medium_airport,El Paso International Airport,3959,NA,US,US-TX,El Paso,KELP,ELP,ELP,"31.80719948, -106.3779984"
KELY,medium_airport,Ely Airport Yelland Field,6259,NA,US,US-NV,Ely,KELY,ELY,ELY,"39.29970169, -114.8420029"
KEND,large_airport,Vance Air Force Base,1307,NA,US,US-OK,Enid,KEND,END,END,"36.339199066199996, -97.9164962769"
KENV,medium_airport,Wendover Airport,4237,NA,US,US-UT,Wendover,KENV,ENV,ENV,"40.7187004089, -114.03099823"
KENW,medium_airport,Kenosha Regional Airport,742,NA,US,US-WI,Kenosha,KENW,ENW,ENW,"42.59569931, -87.92780304"
KERI,large_airport,Erie International Tom Ridge Field,732,NA,US,US-PA,Erie,KERI,ERI,ERI,"42.0831270134, -80.1738667488"
KESF,medium_airport,Esler Regional Airport,112,NA,US,US-LA,Alexandria,KESF,ESF,ESF,"31.3948993683, -92.2957992554"
KEUG,medium_airport,Mahlon Sweet Field,374,NA,US,US-OR,Eugene,KEUG,EUG,EUG,"44.12459945678711, -123.21199798583984"
KEVV,medium_airport,Evansville Regional Airport,418,NA,US,US-IN,Evansville,KEVV,EVV,EVV,"38.0369987488, -87.5324020386"
KEVW,medium_airport,Evanston-Uinta County Airport-Burns Field,7143,NA,US,US-WY,Evanston,KEVW,EVW,EVW,"41.27479935, -111.0350037"
KEWB,medium_airport,New Bedford Regional Airport,80,NA,US,US-MA,New Bedford,KEWB,EWB,EWB,"41.67610168457031, -70.95690155029297"
KEWN,medium_airport,Coastal Carolina Regional Airport,18,NA,US,US-NC,New Bern,KEWN,EWN,EWN,"35.0730018616, -77.04290008539999"
KEWR,large_airport,Newark Liberty International Airport,18,NA,US,US-NJ,Newark,KEWR,EWR,EWR,"40.692501068115234, -74.168701171875"
KEYW,medium_airport,Key West International Airport,3,NA,US,US-FL,Key West,KEYW,EYW,EYW,"24.556100845336914, -81.75959777832031"
KFAF,medium_airport,Felker Army Air Field,12,NA,US,US-VA,Fort Eustis,KFAF,FAF,FAF,"37.132499694799996, -76.60880279540001"
KFAR,medium_airport,Hector International Airport,902,NA,US,US-ND,Fargo,KFAR,FAR,FAR,"46.92070007324219, -96.81580352783203"
KFAT,medium_airport,Fresno Yosemite International Airport,336,NA,US,US-CA,Fresno,KFAT,FAT,FAT,"36.77619934082031, -119.71800231933594"
KFAY,medium_airport,Fayetteville Regional Grannis Field,189,NA,US,US-NC,Fayetteville,KFAY,FAY,FAY,"34.9911994934082, -78.88030242919922"
KFBG,medium_airport,Simmons Army Air Field,244,NA,US,US-NC,Fort Bragg,KFBG,FBG,FBG,"35.13180161, -78.93669891"
KFCS,medium_airport,Butts AAF (Fort Carson) Air Field,5838,NA,US,US-CO,Fort Carson,KFCS,FCS,FCS,"38.67839813, -104.7570038"
KFDY,medium_airport,Findlay Airport,813,NA,US,US-OH,Findlay,KFDY,FDY,FDY,"41.013500213600004, -83.66870117190001"
KFFO,large_airport,Wright-Patterson Air Force Base,823,NA,US,US-OH,Dayton,KFFO,FFO,FFO,"39.8260993958, -84.0483016968"
KFHU,medium_airport,Sierra Vista Municipal Libby Army Air Field,4719,NA,US,US-AZ,Fort Huachuca Sierra Vista,KFHU,FHU,FHU,"31.588499069213867, -110.34400177001953"
KFKL,medium_airport,Venango Regional Airport,1540,NA,US,US-PA,Franklin,KFKL,FKL,FKL,"41.3778991699, -79.8603973389"
KFLG,medium_airport,Flagstaff Pulliam Airport,7014,NA,US,US-AZ,Flagstaff,KFLG,FLG,FLG,"35.13850021, -111.6709976"
KFLL,large_airport,Fort Lauderdale Hollywood International Airport,9,NA,US,US-FL,Fort Lauderdale,KFLL,FLL,FLL,"26.072599, -80.152702"
KFLO,medium_airport,Florence Regional Airport,146,NA,US,US-SC,Florence,KFLO,FLO,FLO,"34.18539810180664, -79.7238998413086"
KFME,medium_airport,Tipton Airport,150,NA,US,US-MD,Fort Meade(Odenton),KFME,FME,FME,"39.08539962769999, -76.7593994141"
KFMN,medium_airport,Four Corners Regional Airport,5506,NA,US,US-NM,Farmington,KFMN,FMN,FMN,"36.741199493399996, -108.230003357"
KFMY,medium_airport,Page Field,17,NA,US,US-FL,Fort Myers,KFMY,FMY,FMY,"26.58659935, -81.86329650879999"
KFNT,medium_airport,Bishop International Airport,782,NA,US,US-MI,Flint,KFNT,FNT,FNT,"42.96540069580078, -83.74359893798828"
KFOD,medium_airport,Fort Dodge Regional Airport,1156,NA,US,US-IA,Fort Dodge,KFOD,FOD,FOD,"42.55149841, -94.19259644"
KFOE,medium_airport,Topeka Regional Airport - Forbes Field,1078,NA,US,US-KS,Topeka,KFOE,FOE,FOE,"38.950901031499995, -95.66359710690001"
KFPR,medium_airport,St Lucie County International Airport,24,NA,US,US-FL,Fort Pierce,KFPR,FPR,FPR,"27.49510002, -80.36830139"
KFRG,medium_airport,Republic Airport,82,NA,US,US-NY,Farmingdale,KFRG,FRG,FRG,"40.7288017273, -73.4133987427"
KFRI,medium_airport,Marshall Army Air Field,1065,NA,US,US-KS,Fort Riley(Junction City),KFRI,FRI,FRI,"39.05530167, -96.76450348"
KFSD,medium_airport,Joe Foss Field Airport,1429,NA,US,US-SD,Sioux Falls,KFSD,FSD,FSD,"43.582000732400004, -96.741897583"
KFSI,medium_airport,Henry Post Army Air Field (Fort Sill),1189,NA,US,US-OK,Fort Sill,KFSI,FSI,FSI,"34.64979935, -98.40219879"
KFSM,large_airport,Fort Smith Regional Airport,469,NA,US,US-AR,Fort Smith,KFSM,FSM,FSM,"35.33660125732422, -94.36740112304688"
KFST,medium_airport,Fort Stockton Pecos County Airport,3011,NA,US,US-TX,Fort Stockton,KFST,FST,FST,"30.9157009125, -102.916000366"
KFTK,medium_airport,Godman Army Air Field,756,NA,US,US-KY,Fort Knox,KFTK,FTK,FTK,"37.907100677500004, -85.9720993042"
KFTW,large_airport,Fort Worth Meacham International Airport,710,NA,US,US-TX,Fort Worth,KFTW,FTW,FTW,"32.819801, -97.362396"
KFTY,medium_airport,Fulton County Airport Brown Field,841,NA,US,US-GA,Atlanta,KFTY,FTY,FTY,"33.7790985107, -84.5214004517"
KFWA,large_airport,Fort Wayne International Airport,814,NA,US,US-IN,Fort Wayne,KFWA,FWA,FWA,"40.97850037, -85.19509888"
KFXE,medium_airport,Fort Lauderdale Executive Airport,13,NA,US,US-FL,Fort Lauderdale,KFXE,FXE,FXE,"26.1972999573, -80.1707000732"
KFYV,medium_airport,Drake Field,1251,NA,US,US-AR,Fayetteville,KFYV,FYV,FYV,"36.00510025024414, -94.17009735107422"
KG-0001,medium_airport,Jalal-Abad Airport,2591,AS,KG,KG-J,Jalal-Abad,UAFJ,,,"40.944401, 72.977798"
KGCC,medium_airport,Gillette Campbell County Airport,4365,NA,US,US-WY,Gillette,KGCC,GCC,GCC,"44.348899841299996, -105.539001465"
KGCK,medium_airport,Garden City Regional Airport,2891,NA,US,US-KS,Garden City,KGCK,GCK,GCK,"37.9275016785, -100.723999023"
KGCN,medium_airport,Grand Canyon National Park Airport,6609,NA,US,US-AZ,Grand Canyon,KGCN,GCN,GCN,"35.95240020751953, -112.14700317382812"
KGDV,medium_airport,Dawson Community Airport,2458,NA,US,US-MT,Glendive,KGDV,GDV,GDV,"47.13869858, -104.8069992"
KGEG,large_airport,Spokane International Airport,2376,NA,US,US-WA,Spokane,KGEG,GEG,GEG,"47.61989974975586, -117.53399658203125"
KGFK,medium_airport,Grand Forks International Airport,845,NA,US,US-ND,Grand Forks,KGFK,GFK,GFK,"47.949299, -97.176102"
KGFL,medium_airport,Floyd Bennett Memorial Airport,328,NA,US,US-NY,Glens Falls,KGFL,GFL,GFL,"43.3412017822, -73.6102981567"
KGGG,medium_airport,East Texas Regional Airport,365,NA,US,US-TX,Longview,KGGG,GGG,GGG,"32.38399887084961, -94.71150207519531"
KGGW,medium_airport,Wokal Field Glasgow International Airport,2296,NA,US,US-MT,Glasgow,KGGW,GGW,GGW,"48.212502, -106.614998"
KGJT,medium_airport,Grand Junction Regional Airport,4858,NA,US,US-CO,Grand Junction,KGJT,GJT,GJT,"39.1223983765, -108.527000427"
KGLD,medium_airport,Renner Field-Goodland Municipal Airport,3656,NA,US,US-KS,Goodland,KGLD,GLD,GLD,"39.37060165, -101.6989975"
KGLH,medium_airport,Mid Delta Regional Airport,131,NA,US,US-MS,Greenville,KGLH,GLH,GLH,"33.4828987121582, -90.98560333251953"
KGLS,medium_airport,Scholes International At Galveston Airport,6,NA,US,US-TX,Galveston,KGLS,GLS,GLS,"29.265300750732422, -94.86039733886719"
KGMU,medium_airport,Greenville Downtown Airport,1048,NA,US,US-SC,Greenville,KGMU,GMU,GMU,"34.847900390599996, -82.34999847410002"
KGNV,medium_airport,Gainesville Regional Airport,152,NA,US,US-FL,Gainesville,KGNV,GNV,GNV,"29.6900997162, -82.2717971802"
KGON,medium_airport,Groton New London Airport,9,NA,US,US-CT,Groton (New London),KGON,GON,GON,"41.330101013183594, -72.04509735107422"
KGPI,medium_airport,Glacier Park International Airport,2977,NA,US,US-MT,Kalispell,KGPI,FCA,GPI,"48.31050109863281, -114.25599670410156"
KGPT,large_airport,Gulfport Biloxi International Airport,28,NA,US,US-MS,Gulfport,KGPT,GPT,GPT,"30.40730094909668, -89.07009887695312"
KGRB,large_airport,Austin Straubel International Airport,695,NA,US,US-WI,Green Bay,KGRB,GRB,GRB,"44.48509979248047, -88.12960052490234"
KGRF,medium_airport,Gray Army Air Field,300,NA,US,US-WA,Fort Lewis/Tacoma,KGRF,GRF,GRF,"47.07920074, -122.5810013"
KGRI,medium_airport,Central Nebraska Regional Airport,1847,NA,US,US-NE,Grand Island,KGRI,GRI,GRI,"40.967498779296875, -98.30960083007812"
KGRK,medium_airport,Robert Gray  Army Air Field Airport,1015,NA,US,US-TX,Fort Hood/Killeen,KGRK,GRK,GRK,"31.067199707, -97.82890319820001"
KGRR,medium_airport,Gerald R. Ford International Airport,794,NA,US,US-MI,Grand Rapids,KGRR,GRR,GRR,"42.88079834, -85.52279663"
KGSB,large_airport,Seymour Johnson Air Force Base,109,NA,US,US-NC,Goldsboro,KGSB,GSB,GSB,"35.33940125, -77.96060181"
KGSO,large_airport,Piedmont Triad International Airport,925,NA,US,US-NC,Greensboro,KGSO,GSO,GSO,"36.097801208496094, -79.93730163574219"
KGSP,large_airport,Greenville Spartanburg International Airport,964,NA,US,US-SC,Greenville,KGSP,GSP,GSP,"34.8956985474, -82.2189025879"
KGTB,medium_airport,Wheeler Sack Army Air Field,688,NA,US,US-NY,Fort Drum,KGTB,,GTB,"44.05559921, -75.71949768"
KGTF,medium_airport,Great Falls International Airport,3680,NA,US,US-MT,Great Falls,KGTF,GTF,GTF,"47.48199844, -111.3710022"
KGTR,medium_airport,Golden Triangle Regional Airport,264,NA,US,US-MS,Columbus/W Point/Starkville,KGTR,GTR,GTR,"33.450298309299995, -88.5914001465"
KGUP,medium_airport,Gallup Municipal Airport,6472,NA,US,US-NM,Gallup,KGUP,GUP,GUP,"35.511100769, -108.789001465"
KGUS,large_airport,Grissom Air Reserve Base,812,NA,US,US-IN,Peru,KGUS,GUS,GUS,"40.648101806599996, -86.1520996094"
KGUY,medium_airport,Guymon Municipal Airport,3123,NA,US,US-OK,Guymon,KGUY,GUY,GUY,"36.6851005554, -101.508003235"
KGWO,medium_airport,Greenwood–Leflore Airport,162,NA,US,US-MS,Greenwood,KGWO,GWO,GWO,"33.4943008423, -90.0847015381"
KGYY,medium_airport,Gary Chicago International Airport,591,NA,US,US-IN,Gary,KGYY,GYY,GYY,"41.61629867553711, -87.41280364990234"
KHBG,medium_airport,Hattiesburg Bobby L Chain Municipal Airport,151,NA,US,US-MS,Hattiesburg,KHBG,HBG,HBG,"31.26479912, -89.25279999"
KHBR,medium_airport,Hobart Regional Airport,1563,NA,US,US-OK,Hobart,KHBR,HBR,HBR,"34.991317, -99.051313"
KHFD,medium_airport,Hartford Brainard Airport,18,NA,US,US-CT,Hartford,KHFD,HFD,HFD,"41.736698150635, -72.649398803711"
KHGR,medium_airport,Hagerstown Regional Richard A Henson Field,703,NA,US,US-MD,Hagerstown,KHGR,HGR,HGR,"39.707901, -77.72949982"
KHHR,medium_airport,Jack Northrop Field Hawthorne Municipal Airport,66,NA,US,US-CA,Hawthorne,KHHR,HHR,HHR,"33.922798, -118.334999"
KHIB,large_airport,Range Regional Airport,1354,NA,US,US-MN,Hibbing,KHIB,HIB,HIB,"47.38660049, -92.83899689"
KHIF,medium_airport,Hill Air Force Base,4789,NA,US,US-UT,Ogden,KHIF,HIF,HIF,"41.12403, -111.973086"
KHIO,medium_airport,Portland Hillsboro Airport,208,NA,US,US-OR,Portland,KHIO,HIO,HIO,"45.540401, -122.949997"
KHKY,medium_airport,Hickory Regional Airport,1190,NA,US,US-NC,Hickory,KHKY,HKY,HKY,"35.74110031, -81.38950348"
KHLG,medium_airport,Wheeling Ohio County Airport,1195,NA,US,US-WV,Wheeling,KHLG,HLG,HLG,"40.1749992371, -80.6463012695"
KHLN,medium_airport,Helena Regional Airport,3877,NA,US,US-MT,Helena,KHLN,HLN,HLN,"46.6068000793457, -111.98300170898438"
KHLR,medium_airport,Hood Army Air Field,924,NA,US,US-TX,Fort Hood(Killeen),KHLR,HLR,HLR,"31.138700485199998, -97.71450042720001"
KHMN,large_airport,Holloman Air Force Base,4093,NA,US,US-NM,Alamogordo,KHMN,HMN,HMN,"32.8525009155, -106.107002258"
KHOB,medium_airport,Lea County Regional Airport,3661,NA,US,US-NM,Hobbs,KHOB,HOB,HOB,"32.6875, -103.2170029"
KHON,medium_airport,Huron Regional Airport,1289,NA,US,US-SD,Huron,KHON,HON,HON,"44.38520050048828, -98.22850036621094"
KHOP,medium_airport,Campbell AAF (Fort Campbell) Air Field,573,NA,US,US-KY,Fort Campbell/Hopkinsville,KHOP,HOP,HOP,"36.668598175, -87.49620056150002"
KHOT,medium_airport,Memorial Field,540,NA,US,US-AR,Hot Springs,KHOT,HOT,HOT,"34.47800064086914, -93.09619903564453"
KHOU,large_airport,William P Hobby Airport,46,NA,US,US-TX,Houston,KHOU,HOU,HOU,"29.64539909, -95.27890015"
KHPN,medium_airport,Westchester County Airport,439,NA,US,US-NY,White Plains,KHPN,HPN,HPN,"41.06700134277344, -73.70760345458984"
KHQM,medium_airport,Bowerman Airport,18,NA,US,US-WA,Hoquiam,KHQM,HQM,HQM,"46.971199035599994, -123.93699646"
KHRL,medium_airport,Valley International Airport,36,NA,US,US-TX,Harlingen,KHRL,HRL,HRL,"26.228500366210938, -97.65440368652344"
KHRO,medium_airport,Boone County Airport,1365,NA,US,US-AR,Harrison,KHRO,HRO,HRO,"36.26150131225586, -93.15470123291016"
KHRT,medium_airport,Hurlburt Field,38,NA,US,US-FL,Mary Esther,KHRT,,HRT,"30.427799224853516, -86.68930053710938"
KHST,medium_airport,Homestead ARB Airport,5,NA,US,US-FL,Homestead,KHST,HST,HST,"25.48859978, -80.38359833"
KHSV,large_airport,Huntsville International Carl T Jones Field,629,NA,US,US-AL,Huntsville,KHSV,HSV,HSV,"34.637199401855, -86.775100708008"
KHTS,large_airport,Tri-State/Milton J. Ferguson Field,828,NA,US,US-WV,Huntington,KHTS,HTS,HTS,"38.36669922, -82.55799866"
KHUA,medium_airport,Redstone Army Air Field,684,NA,US,US-AL,Redstone Arsnl Huntsville,KHUA,HUA,HUA,"34.67869949, -86.68479919"
KHUF,medium_airport,"Terre Haute Regional Airport, Hulman Field",589,NA,US,US-IN,Terre Haute,KHUF,HUF,HUF,"39.4515, -87.307602"
KHUL,medium_airport,Houlton International Airport,489,NA,US,US-ME,Houlton,KHUL,HUL,HUL,"46.1231002808, -67.792098999"
KHUT,medium_airport,Hutchinson Municipal Airport,1543,NA,US,US-KS,Hutchinson,KHUT,HUT,HUT,"38.0654983521, -97.86060333250002"
KHVN,medium_airport,Tweed New Haven Airport,12,NA,US,US-CT,New Haven,KHVN,HVN,HVN,"41.26369858, -72.88680267"
KHVR,medium_airport,Havre City County Airport,2591,NA,US,US-MT,Havre,KHVR,HVR,HVR,"48.54299927, -109.762001"
KHYA,medium_airport,Barnstable Municipal Boardman Polando Field,54,NA,US,US-MA,Hyannis,KHYA,HYA,HYA,"41.66930008, -70.28040314"
KHYI,medium_airport,San Marcos Regional Airport,597,NA,US,US-TX,San Marcos,KHYI,,HYI,"29.8927, -97.862999"
KHYR,medium_airport,Sawyer County Airport,1216,NA,US,US-WI,Hayward,KHYR,HYR,HYR,"46.025199890100005, -91.44429779050002"
KHYS,medium_airport,Hays Regional Airport,1999,NA,US,US-KS,Hays,KHYS,HYS,HYS,"38.84220123, -99.27320099"
KIAB,medium_airport,Mc Connell Air Force Base,1371,NA,US,US-KS,Wichita,KIAB,IAB,IAB,"37.62189865, -97.26820374"
KIAD,large_airport,Washington Dulles International Airport,312,NA,US,US-DC,Washington,KIAD,IAD,IAD,"38.94449997, -77.45580292"
KIAG,medium_airport,Niagara Falls International Airport,589,NA,US,US-NY,Niagara Falls,KIAG,IAG,IAG,"43.1072998046875, -78.94619750976562"
KIAH,large_airport,George Bush Intercontinental Houston Airport,97,NA,US,US-TX,Houston,KIAH,IAH,IAH,"29.984399795532227, -95.34140014648438"
KICT,large_airport,Wichita Eisenhower National Airport,1333,NA,US,US-KS,Wichita,KICT,ICT,ICT,"37.649899, -97.433098"
KIDA,medium_airport,Idaho Falls Regional Airport,4744,NA,US,US-ID,Idaho Falls,KIDA,IDA,IDA,"43.514599, -112.070999"
KIKK,medium_airport,Greater Kankakee Airport,630,NA,US,US-IL,Kankakee,KIKK,IKK,IKK,"41.07139968869999, -87.8462982178"
KILG,medium_airport,New Castle Airport,80,NA,US,US-DE,Wilmington,KILG,ILG,ILG,"39.67869949, -75.60649872"
KILM,medium_airport,Wilmington International Airport,32,NA,US,US-NC,Wilmington,KILM,ILM,ILM,"34.270599365234375, -77.90260314941406"
KILN,medium_airport,Wilmington Airpark,1077,NA,US,US-OH,Wilmington,KILN,ILN,ILN,"39.427898407, -83.792098999"
KIND,large_airport,Indianapolis International Airport,797,NA,US,US-IN,Indianapolis,KIND,IND,IND,"39.7173, -86.294403"
KINK,medium_airport,Winkler County Airport,2822,NA,US,US-TX,Wink,KINK,INK,INK,"31.779600143399996, -103.200996399"
KINL,medium_airport,Falls International Airport,1185,NA,US,US-MN,International Falls,KINL,INL,INL,"48.566200256347656, -93.4030990600586"
KINT,medium_airport,Smith Reynolds Airport,969,NA,US,US-NC,Winston Salem,KINT,INT,INT,"36.13370132446289, -80.22200012207031"
KINW,medium_airport,Winslow Lindbergh Regional Airport,4941,NA,US,US-AZ,Winslow,KINW,INW,INW,"35.021900177, -110.722999573"
KIPL,medium_airport,Imperial County Airport,-54,NA,US,US-CA,Imperial,KIPL,IPL,IPL,"32.834201812699995, -115.57900238"
KIPT,medium_airport,Williamsport Regional Airport,529,NA,US,US-PA,Williamsport,KIPT,IPT,IPT,"41.241798400878906, -76.92109680175781"
KIRK,medium_airport,Kirksville Regional Airport,966,NA,US,US-MO,Kirksville,KIRK,IRK,IRK,"40.09349822998047, -92.5448989868164"
KISM,medium_airport,Kissimmee Gateway Airport,82,NA,US,US-FL,Orlando,KISM,ISM,ISM,"28.2898006439, -81.4371032715"
KISN,medium_airport,Sloulin Field International Airport,1982,NA,US,US-ND,Williston,KISN,ISN,ISN,"48.177898407, -103.641998291"
KISO,medium_airport,Kinston Regional Jetport At Stallings Field,93,NA,US,US-NC,Kinston,KISO,ISO,ISO,"35.331401825, -77.60880279540001"
